Country,Year,Governance Index
Afghanistan,2018,-1.457285285
Albania,2018,0.114787988
Algeria,2018,-0.443924606
American Samoa,2018,0.551414788
Andorra,2018,1.944975734
Angola,2018,-1.052086353
Anguilla,2018,0.830126941
Antigua and Barbuda,2018,-0.006009565
Argentina,2018,0.025987763
Armenia,2018,-0.024339372
Aruba,2018,1.05839169
Australia,2018,1.596494913
Austria,2018,1.453342438
Azerbaijan,2018,-0.100467414
"Bahamas, The",2018,0.53914994
Bahrain,2018,0.17987743
Bangladesh,2018,-0.748399317
Barbados,2018,0.426972657
Belarus,2018,-0.301030338
Belgium,2018,1.171748161
Belize,2018,-0.593888402
Benin,2018,-0.565986633
Bermuda,2018,1.387551308
Bhutan,2018,0.358897328
Bolivia,2018,-0.322099388
Bosnia and Herzegovina,2018,-0.61853981
Botswana,2018,0.333441079
Brazil,2018,-0.447437376
Brunei Darussalam,2018,1.252714276
Bulgaria,2018,0.271875739
Burkina Faso,2018,-0.578342915
Burundi,2018,-1.419981599
Cambodia,2018,-0.568605006
Cameroon,2018,-0.799652517
Canada,2018,1.716108322
Cape Verde,2018,0.319239318
Cayman Islands,2018,1.204365969
Central African Republic,2018,-1.720416784
Chad,2018,-1.528846622
Chile,2018,1.084033728
China,2018,0.477128386
Colombia,2018,-0.085226238
Comoros,2018,-1.639134169
"Congo, Dem. Rep.",2018,-1.554787278
"Congo, Rep.",2018,-1.217235804
Cook Islands,2013,-0.994047165
Costa Rica,2018,0.378186762
Côte d'Ivoire,2018,-0.570518613
Croatia,2018,0.456918329
Cuba,2018,-0.244837821
Cyprus,2018,0.920902193
Czech Republic,2018,0.922208071
Denmark,2018,1.871631145
Djibouti,2018,-0.899096608
Dominica,2018,-0.289503425
Dominican Republic,2018,-0.400257349
Ecuador,2018,-0.26139763
"Egypt, Arab Rep.",2018,-0.584804058
El Salvador,2018,-0.447142482
Equatorial Guinea,2018,-1.294380069
Eritrea,2018,-1.727731705
Estonia,2018,1.191937923
Ethiopia,2018,-0.607469678
Fiji,2018,0.259536237
Finland,2018,1.984208465
France,2018,1.480525851
French Guiana,2018,1.397862554
Gabon,2018,-0.812283397
"Gambia, The",2018,-0.6234712
Georgia,2018,0.614570916
Germany,2018,1.61963284
Ghana,2018,-0.21027039
Greece,2018,0.338260889
Greenland,2018,0.838082671
Grenada,2018,-0.252952486
Guam,2018,0.272702605
Guatemala,2018,-0.682006061
Guinea,2018,-0.970923185
Guinea-Bissau,2018,-1.487850308
Guyana,2018,-0.269483864
Haiti,2018,-1.909053683
Honduras,2018,-0.620658517
"Hong Kong SAR, China",2018,1.903607011
Hungary,2018,0.487310886
Iceland,2018,1.465654731
India,2018,0.283048511
Indonesia,2018,0.179875433
"Iran, Islamic Rep.",2018,-0.430217296
Iraq,2018,-1.320548177
Ireland,2018,1.420338392
Israel,2018,1.20820725
Italy,2018,0.413883507
Jamaica,2018,0.496711224
Japan,2018,1.67581749
"Jersey, Channel Islands",2018,1.259951234
Jordan,2018,0.112717994
Kazakhstan,2018,0.021720437
Kenya,2018,-0.410852253
Kiribati,2018,-0.27643925
"Korea, Dem. Rep.",2018,-1.572759509
"Korea, Rep.",2018,1.182664871
Kosovo,2018,-0.428305268
Kuwait,2018,-0.087805904
Kyrgyz Republic,2018,-0.611537933
Lao PDR,2018,-0.672724009
Latvia,2018,1.043451786
Lebanon,2018,-0.640202343
Lesotho,2018,-0.860905707
Liberia,2018,-1.340830564
Libya,2018,-1.847037077
Liechtenstein,2018,1.739036679
Lithuania,2018,1.072397828
Luxembourg,2018,1.778221369
"Macao SAR, China",2018,1.204365969
"Macedonia, FYR",2018,0.090243079
Madagascar,2018,-1.153121233
Malawi,2018,-0.728670537
Malaysia,2018,1.075348139
Maldives,2018,-0.488494068
Mali,2018,-1.004637957
Malta,2018,0.968795955
Marshall Islands,2018,-1.554391146
Martinique,2018,1.108839154
Mauritania,2018,-0.726632476
Mauritius,2018,0.876084864
Mexico,2018,-0.153388038
"Micronesia, Fed. Sts.",2018,-0.148862943
Moldova,2018,-0.466520488
Monaco,2018,
Mongolia,2018,-0.233347699
Montenegro,2018,0.131161496
Morocco,2018,-0.209295884
Mozambique,2018,-0.874281287
Myanmar,2018,-1.068651795
Namibia,2018,0.10644199
Nauru,2018,-0.076744027
Nepal,2018,-0.902338326
Netherlands,2018,1.850465655
Netherlands Antilles (former),2013,0.752769649
New Zealand,2018,1.670251369
Nicaragua,2018,-0.802469909
Niger,2018,-0.766042531
Nigeria,2018,-1.022590756
Niue,2013,-0.994047165
Norway,2018,1.887119412
Oman,2018,0.186578199
Pakistan,2018,-0.633844316
Palau,2018,-0.012124174
Panama,2018,-0.01945203
Papua New Guinea,2018,-0.677340209
Paraguay,2018,-0.517214417
Peru,2018,-0.245430946
Philippines,2018,0.049509421
Poland,2018,0.662650824
Portugal,2018,1.208908916
Puerto Rico,2018,-0.156924009
Qatar,2018,0.631236374
Réunion,2018,1.108839154
Romania,2018,-0.253441751
Russian Federation,2018,-0.060885753
Rwanda,2018,0.20680891
Samoa,2018,0.590758741
San Marino,2018,
São Tomé and Principe,2018,-0.639390349
Saudi Arabia,2018,0.323498219
Senegal,2018,-0.26781556
Serbia,2018,0.111619763
Seychelles,2018,0.50228399
Sierra Leone,2018,-1.142947793
Singapore,2018,2.2314744
Slovak Republic,2018,0.707461536
Slovenia,2018,1.125805974
Solomon Islands,2018,-1.054240704
Somalia,2018,-2.191029787
South Africa,2018,0.340378612
South Sudan,2018,-2.449409246
Spain,2018,1.002135754
Sri Lanka,2018,-0.235379338
St. Kitts and Nevis,2018,0.551414788
St. Lucia,2018,0.195670322
St. Vincent and the Grenadines,2018,0.195670322
Sudan,2018,-1.619856596
Suriname,2018,-0.655303657
Swaziland,2018,-0.659946799
Sweden,2018,1.830975056
Switzerland,2018,2.039620876
Syrian Arab Republic,2018,-1.671169043
"Taiwan, China",2018,1.362331152
Tajikistan,2018,-1.097703934
Tanzania,2018,-0.756265819
Thailand,2018,0.349959552
Timor-Leste,2018,-0.982607365
Togo,2018,-1.057791114
Tonga,2018,0.139354825
Trinidad and Tobago,2018,0.190237924
Tunisia,2018,-0.105261788
Turkey,2018,0.006096762
Turkmenistan,2018,-1.044101954
Tuvalu,2018,-0.693651795
Uganda,2018,-0.606039941
Ukraine,2018,-0.415219933
United Arab Emirates,2018,1.431290984
United Kingdom,2018,1.341883779
United States,2018,1.576998353
Uruguay,2018,0.558214784
Uzbekistan,2018,-0.547082782
Vanuatu,2018,-0.491711676
"Venezuela, RB",2018,-1.581517458
Vietnam,2018,-0.00344478
Virgin Islands (U.S.),2018,0.830126941
West Bank and Gaza,2018,-0.760890245
"Yemen, Rep.",2018,-2.244353771
Zambia,2018,-0.559209287
Zimbabwe,2018,-1.198860049
